Market_ID,Product,Market_Price_per_ton,Demand_Index,Supply_Index,Competitor_Price_per_ton,Economic_Indicator,Weather_Impact_Score,Seasonal_Factor,Consumer_Trend_Index
1,Rice,180.2512119,196.0859002,199.5091242,300.5492193,1.093636034,28.47481031,Medium,148.4721312
2,Rice,420.5279696,188.4524001,150.789483,492.0977976,0.526306882,70.97806264,High,97.29888806
3,Wheat,457.2603975,171.179384,78.9893263,323.0033423,1.292393349,80.85359159,Low,131.1132356
4,Soybean,237.1791126,196.9706768,50.46436326,232.9783844,0.627662565,60.67606901,Low,95.16941689
5,Wheat,324.0329249,113.1654156,145.8786468,312.4286524,1.491254994,45.37951565,Low,130.2971383
6,Corn,389.6482051,123.0887289,190.9064751,181.9354392,0.87615026,81.36985531,Low,77.24621492
7,Rice,155.8951881,70.19881112,96.26801741,265.9171798,1.22881403,88.33181027,High,107.4470397
8,Rice,321.7267277,138.080562,52.2551903,187.675745,1.477784896,14.62418965,Low,103.2394934
9,Soybean,447.4117731,188.3175449,171.8294928,210.5029555,0.707802807,29.15067698,Low,141.323695
10,Corn,218.1278684,58.50185557,92.43983301,428.6728759,0.791493915,78.89496748,High,80.22115567
11,Corn,101.5262392,181.3646499,166.2452304,230.7667058,1.006176295,16.03641752,Low,122.963337
12,Soybean,315.8509299,69.41579532,69.54926183,246.52371,0.67548806,44.73947945,High,102.828604
13,Soybean,101.0404658,92.38147818,183.405809,315.608008,0.939878523,55.76323228,High,123.6960558
14,Soybean,481.9484152,164.5570086,117.8974328,315.8944136,0.996883786,81.294488,Medium,103.2675589
15,Soybean,324.5391103,157.4982536,116.2636677,132.3907034,0.813440712,44.11671804,High,122.4370887
16,Corn,400.6447487,192.6003005,68.85381701,268.4072009,0.840605995,98.05217661,Medium,127.1072451
17,Corn,173.4564353,155.7817015,178.7819554,413.2406039,1.318820789,96.21362739,High,136.5460816
18,Wheat,278.4398528,77.77189944,149.1893061,198.9325024,1.217541067,90.51139623,High,117.9732395
19,Rice,323.3255468,176.6885501,106.1425768,289.9813436,0.597850747,66.60179447,Low,67.47356846
20,Soybean,468.0853464,64.18598493,108.3076951,375.330845,0.995760781,67.39407678,Low,124.1426595
21,Soybean,404.3796067,170.1273296,198.9322485,367.5274052,1.195187015,72.08959196,High,92.88422037
22,Wheat,444.2102233,132.4594383,85.20097918,355.1809846,1.296091363,8.891188063,Low,63.84891719
23,Soybean,172.0450392,59.48185614,147.0698993,238.9034037,0.594950905,25.84204125,Low,75.50011836
24,Wheat,431.8034793,101.5737939,62.57844649,393.4910003,0.889899942,5.924634913,High,88.92093601
25,Soybean,114.6282173,74.2803083,156.8942818,312.0102759,0.792685343,96.59828168,Low,92.22208579
26,Corn,111.175762,165.9831623,80.40521977,374.2801577,1.361893436,53.37319615,High,61.307488
27,Soybean,443.2644718,176.6746554,163.3434102,489.3153988,0.663979928,23.22084996,High,69.99078955
28,Corn,325.8060812,83.30355952,191.6874443,422.0177711,0.916578598,25.45412151,High,84.23895148
29,Corn,178.3957476,138.5237747,54.68187513,370.961985,1.045178463,95.04125288,Low,120.5709968
30,Rice,323.4505644,88.05527466,105.8019287,282.0404983,0.702323912,38.9714516,Medium,92.4774252
31,Soybean,233.9117188,180.9506761,149.4101175,216.2795194,1.373113684,8.881386391,High,74.94312844
